s_1_1;s_1_2;s_1_3;s_2_1;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_12;s_13;s_14;s_15;s_16;s_17;s_18;s_19;s_20_1;s_20_2;s_20_3;s_20_4;s_20_5;s_20_6;s_20_7;s_20_8;s_20_9;s_20_10;s_20_11;s_20_12;s_172;s_22;s_23;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_25;s_26;s_27;s_28;s_29;s_30;s_31;s_32;s_33;s_34;s_35;s_37;s_39;s_40;s_41;s_42;s_43;s_44;s_45;s_46;s_47;s_48;s_49;s_50;s_51;s_52;s_53;s_54;s_55;s_56;s_57;s_58;s_59;s_60;s_61;s_62;s_63;s_64;s_65;s_66;s_67;s_68;s_69;s_70;s_71;s_72;s_73;s_74;s_75;s_76;s_77;s_78;s_79;s_80;s_81;s_83;s_113;s_114;s_115;s_185;s_184;s_116;s_187;s_188;s_190;s_133;s_134;s_135;s_136;s_137;s_138;s_139;s_140;s_141;s_142;lang;stato_1;stato_2;stato_3;stato_4;stato_5
1;1;1;1;2;22;"Colombia";3;2;4;1;1;6;1;1;5;5;6;6;6;;1;1;0;1;1;1;1;0;0;0;1;0;"";1;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;"";6;4;6;1;1;4;5;1;2;2;1;2;1;4;6;4;4;5;4;5;4;4;3;4;3;3;3;3;4;5;2;5;5;2;5;6;5;2;3;3;2;2;5;2;2;4;1;6;3;1;6;3;5;"";2;2;1;2;4;1;2;2;1;4;3;3;4;3;3;3;3;4;3;3;0;0;0;1;0
1;1;1;1;2;23;"Colombia";4;2;2;1;1;6;1;1;6;4;5;6;6;15;1;0;0;1;0;1;0;0;1;0;0;0;"";3;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;"";5;1;5;5;2;2;6;1;2;2;1;2;2;1;2;2;4;5;3;4;1;1;1;1;1;4;1;1;1;6;1;1;1;6;1;6;6;1;1;1;1;2;6;1;1;2;1;4;1;1;6;1;6;"";2;1;4;1;4;1;1;1;1;2;2;2;4;4;3;4;3;2;2;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;22;"Colombia";8;1;3;1;1;6;1;1;5;5;6;5;6;8;1;0;0;1;1;1;0;0;0;0;1;0;"";1;8;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;"";6;5;6;1;1;1;6;2;2;2;1;2;2;4;5;7;7;5;4;2;1;1;1;5;5;5;1;1;1;6;1;1;1;1;6;6;6;1;5;1;4;1;7;5;5;6;6;6;6;5;6;6;3;"";2;2;1;2;2;1;1;2;1;5;3;4;3;4;2;4;3;3;3;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;24;"Colombia";4;1;3;1;2;6;1;1;5;5;6;6;6;11;1;1;1;1;1;1;1;0;0;0;1;0;"";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;"";5;4;6;4;2;1;3;1;2;2;1;2;2;1;4;3;4;4;5;5;2;2;2;2;2;6;2;2;2;1;1;1;1;1;4;3;4;2;4;2;2;5;2;3;2;1;4;1;2;2;4;4;3;"";2;1;1;1;2;1;1;1;1;1;1;3;2;4;2;4;3;3;2;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;30;"Colombia";4;1;3;1;1;1;1;1;5;5;5;5;5;8;1;0;1;1;0;1;0;0;0;0;1;0;"";2;5;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;"";4;5;3;3;1;3;3;2;2;2;1;2;2;2;2;2;4;4;5;2;2;1;1;2;3;2;1;1;1;5;1;1;1;1;5;5;5;2;2;1;2;3;5;2;2;5;5;4;5;3;3;5;2;"";2;1;2;1;1;1;1;1;1;1;1;2;5;5;2;5;5;2;2;3;0;0;0;1;0
1;1;1;1;1;30;"Colombia";5;2;4;1;1;6;1;1;6;1;6;6;6;10;0;0;0;1;1;1;1;0;0;0;0;0;"";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;"";3;3;5;4;2;1;1;1;2;2;1;2;2;4;2;1;3;5;6;3;2;1;2;2;2;3;1;1;1;6;1;1;4;2;5;7;5;2;2;2;2;7;7;2;2;1;1;1;1;1;1;1;1;"";1;1;2;2;1;1;1;1;1;2;3;3;5;4;2;5;5;2;3;3;0;0;0;1;0
1;1;1;1;1;39;"colombia";5;1;2;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;23;"Colombia";2;1;1;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;26;"United States";5;1;3;1;3;6;1;1;6;4;6;6;6;21;1;1;0;1;1;1;1;0;0;0;0;0;"";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;"";6;6;6;1;1;1;1;1;2;2;1;2;2;3;3;3;4;4;6;3;1;3;4;5;3;6;2;5;3;5;2;4;3;1;6;6;6;3;6;3;3;2;4;2;2;2;2;2;2;4;3;2;3;"";2;1;4;2;3;1;2;2;1;2;2;2;4;4;2;4;2;2;2;2;0;0;0;1;0
1;1;1;1;2;42;"Colombia";4;1;3;1;3;5;1;1;5;3;6;5;6;10;1;0;1;1;1;1;1;0;1;0;1;0;"";2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;"";6;5;4;1;1;1;5;1;2;2;1;2;1;2;1;1;5;4;3;4;2;2;3;2;3;4;2;2;1;1;1;1;1;3;2;4;4;6;3;1;1;4;4;4;2;5;5;5;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;42;"Colombia";5;1;1;1;1;6;2;2;6;5;6;5;5;10;1;0;1;1;1;1;1;0;0;0;1;1;"Motos sin parrillero";2;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;4;"";6;5;6;2;1;2;4;1;2;2;1;2;2;2;2;3;3;5;4;5;1;1;1;2;4;2;2;2;2;5;2;2;2;1;5;5;5;2;2;2;2;2;5;2;2;5;5;4;4;3;2;4;3;"";2;1;1;2;2;1;1;2;1;3;2;2;4;3;3;4;3;2;2;3;0;0;0;1;0
1;1;1;1;1;27;"Colombia";5;1;3;1;1;5;1;2;6;5;5;5;5;11;1;0;0;1;1;1;0;0;0;0;1;0;"";1;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;"";4;2;4;5;2;2;3;2;2;2;1;2;2;2;2;2;5;5;3;5;3;2;2;2;2;2;2;2;2;4;2;2;2;2;5;5;5;2;3;2;1;2;5;2;2;3;3;2;3;2;5;2;5;"";1;1;2;1;1;1;1;1;1;2;1;1;5;4;2;5;4;1;1;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;56;"Colombia";4;1;1;1;1;6;1;1;6;5;6;6;6;18;1;0;1;1;0;1;1;0;0;0;1;0;"";1;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;"Acudí a una línea de ayuda para obtener orientación para una paciente, soy psicólogo, y no encontré atención ni alternativas para la atención de esta señora que presentaba un episodio de pánico";6;4;4;1;1;1;4;2;2;2;2;1;2;1;7;6;7;6;7;6;7;7;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;1;1;1;6;1;1;1;1;1;1;1;6;1;6;"Para mí ha sido una oportunidad para replantear mi vida, he encontrado nuevas maneras de hacer mi trabajo y he incrementado mis horas para prestar Servicio social desde casa";1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;5;5;1;1;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;21;"Colombia";4;1;1;1;1;6;1;6;6;3;6;5;5;15;0;0;1;1;1;1;1;1;0;0;1;0;"";2;3;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;"";6;1;5;5;1;1;6;1;2;2;1;2;2;6;1;1;4;5;6;1;4;2;4;2;2;5;2;2;1;5;1;2;6;1;6;2;2;5;2;2;2;2;5;1;2;5;5;5;6;2;5;5;2;"";4;4;4;4;4;2;2;4;1;1;4;3;5;4;3;4;4;3;4;3;0;0;0;1;0
1;1;1;1;2;37;"Colombia";5;1;2;1;3;6;1;1;6;5;6;6;6;20;1;1;0;1;1;1;1;0;1;0;1;0;"";1;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;"y muchas encuestas como estas de diferentes lugares y organizaciones";6;3;5;1;1;2;4;2;2;2;1;2;2;1;4;4;4;4;5;3;3;3;1;1;1;1;1;1;1;1;1;1;5;6;1;5;3;3;1;1;1;3;6;1;1;1;4;1;1;1;6;4;6;"Revisar la ortografía de la primera pregunta de esta página";1;1;1;2;2;1;1;1;1;1;2;3;2;5;2;5;3;2;2;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;31;"Colombia";8;1;3;1;1;6;1;1;6;5;5;5;6;11;1;1;1;1;0;1;1;0;1;0;1;0;"";2;3;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;3;"";6;6;6;1;2;2;5;1;2;2;1;2;2;5;2;2;1;2;6;2;2;5;2;5;4;4;4;4;4;6;1;5;5;5;2;3;3;5;5;2;4;2;4;4;3;5;5;4;3;4;4;4;3;"";4;4;2;4;3;1;2;2;1;3;3;3;3;3;3;3;4;4;4;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;39;"???";5;1;2;1;3;5;1;2;5;5;5;5;5;15;1;1;1;1;1;1;0;0;1;0;0;0;"";1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"????????????????????? ?????????????????????????????????????????????????????";6;4;4;3;1;6;2;2;2;2;2;2;2;4;3;4;5;5;2;5;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;6;5;2;3;2;4;2;5;2;2;2;2;2;2;2;5;2;5;"";1;1;1;1;1;1;2;1;1;2;2;2;2;4;3;4;4;3;3;7;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
1;1;1;1;1;32;"Colombia";5;1;3;1;;6;1;1;5;5;5;5;6;15;1;1;1;1;1;1;1;0;0;0;1;0;"";1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"";6;5;6;1;1;1;5;2;2;2;2;2;2;1;1;1;5;5;1;5;1;1;1;1;1;1;1;1;1;5;1;1;4;1;4;5;4;1;4;1;1;4;6;4;;4;4;4;6;1;4;4;4;"";1;1;1;2;1;1;1;1;1;4;5;3;4;5;1;5;3;3;3;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;32;"Colombia";8;2;1;1;1;6;1;1;5;2;1;1;1;15;1;0;1;1;0;1;0;0;0;0;1;0;"";3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"";6;2;6;5;1;1;1;2;2;2;2;2;2;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;6;1;6;1;1;1;1;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;43;"danmark";3;2;1;1;3;6;1;1;5;3;6;6;6;21;1;1;0;1;0;1;1;0;0;0;0;0;"";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;"aner det ikke";6;1;1;1;1;1;1;1;2;2;1;2;1;7;7;7;7;7;4;4;1;1;7;1;1;1;1;1;1;1;1;1;1;7;7;7;5;1;1;1;1;7;7;2;2;2;2;2;1;6;4;6;3;"";2;1;1;1;1;1;1;1;1;3;3;3;2;2;3;3;2;3;3;4;0;0;0;1;0
1;1;1;1;1;27;"Colombia";8;1;1;1;3;5;1;1;6;1;5;4;4;15;1;1;1;1;1;1;1;0;0;0;1;0;"";2;4;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"";4;1;4;3;1;1;1;2;2;2;2;2;2;1;2;2;4;6;1;7;1;1;1;1;1;1;1;1;1;6;1;1;1;1;6;6;6;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1;"";1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;5;5;1;1;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;39;"Colombia";4;2;4;1;3;5;1;1;6;6;6;6;6;23;0;0;0;0;1;1;0;0;0;0;1;0;"";3;6;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;"";6;6;6;1;1;3;4;1;2;2;1;2;1;2;6;4;5;3;5;6;1;3;1;1;6;3;5;5;5;1;6;4;6;1;1;3;1;6;6;1;2;1;6;4;3;3;1;2;5;3;5;4;3;"";2;2;4;3;1;1;2;1;1;3;2;5;3;3;3;4;4;4;4;3;0;0;0;1;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;"";;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;"";;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
